country,code,indicator,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Czech Republic,CZE,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Czech Republic,CZE,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,10,10,10,10,10,10,9,9,8,8,8,7,7,7,7,7,7,7,7,7,7,
Denmark,DNK,sp, , , , , , , , , , , , , ,2,2,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Denmark,DNK,mdy, , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Denmark,DNK,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Djibouti,DJI,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Djibouti,DJI,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Djibouti,DJI,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Dominica,DMA,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Dominica,DMA,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Dominica,DMA,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Dominican Republic,DOM,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,16,16,15,15,20,23,17,17,16,17,17,17,16,16,16,16,15,15,15,
Dominican Republic,DOM,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,12,12,16,17,17,17,16,16,16,15,15,15,15,15,15,15,13,
Dominican Republic,DOM,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,19,18,17,17,17,17,17,17,17,17,16,16,15,15,
Ecuador,ECU,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18,19,19,19,19,19,19,18, ,19,18,18,17,17,16,17,17,18,
Ecuador,ECU,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19,19,19,18,18,18,19,21,20,20,19,18,18,17,17,17,17,
Ecuador,ECU,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19,19,18,18,18,20, ,20,18,18,18,17,17,17,17,17,
